method,rep,t,ess
copf_ce,0,44,317.437
copf_ce,0,45,199.839
copf_ce,0,46,360.621
copf_ce,0,47,266.827
copf_ce,0,48,217.047
copf_ce,0,49,395.746
copf_ce,0,50,284.779
copf_ce,0,51,164.471
copf_ce,0,52,349.323
copf_ce,0,53,262.219
copf_ce,0,54,187.903
copf_ce,0,55,257.491
copf_ce,0,56,160.628
copf_ce,0,57,338.6
copf_ce,0,58,246.358
copf_ce,0,59,384.805
copf_ce,0,60,234.105
copf_ce,0,61,278.392
copf_ce,0,62,158.503
copf_ce,0,63,286.278
copf_ce,0,64,190.021
copf_ce,0,65,272.46
copf_ce,0,66,123.498
copf_ce,0,67,258.892
copf_ce,0,68,128.99
copf_ce,0,69,290.416
copf_ce,0,70,135.325
copf_ce,0,71,316.367
copf_ce,0,72,144.066
copf_ce,0,73,216.89
copf_ce,0,74,243.606
copf_ce,0,75,251.257
copf_ce,0,76,283.156
copf_ce,0,77,180.926
copf_ce,0,78,377.681
copf_ce,0,79,295.693
copf_ce,0,80,221.874
copf_ce,0,81,309.452
copf_ce,0,82,210.922
copf_ce,0,83,345.214
copf_ce,0,84,246.425
copf_ce,0,85,281.543
copf_ce,0,86,169.181
copf_ce,0,87,123.891
copf_ce,0,88,267.755
copf_ce,0,89,123.198
copf_ce,0,90,215.947
copf_ce,0,91,234.035
copf_ce,0,92,268.423
copf_ce,0,93,151.352
copf_ce,0,94,298.837
copf_ce,0,95,199.015
copf_ce,0,96,336.851
copf_ce,0,97,194.782
copf_ce,0,98,350.812
copf_ce,0,99,237.123
copf_ce,0,100,370.186
copf_ce,0,101,250.87
copf_ce,0,102,373.671
copf_ce,0,103,254.086
copf_ce,0,104,393.308
copf_ce,0,105,229.561
copf_ce,0,106,337.12
copf_ce,0,107,235.223
copf_ce,0,108,386.119
copf_ce,0,109,283.042
copf_ce,0,110,215.546
copf_ce,0,111,404.366
copf_ce,0,112,272.549
copf_ce,0,113,190.179
copf_ce,0,114,330.315
copf_ce,0,115,218.802
copf_ce,0,116,393.763
copf_ce,0,117,308.355
copf_ce,0,118,253.606
copf_ce,0,119,406.585
copf_ce,0,120,326.955
copf_ce,0,121,263.324
copf_ce,0,122,167.06
copf_ce,0,123,294.19
copf_ce,0,124,196.035
copf_ce,0,125,363.47
copf_ce,0,126,268.414
copf_ce,0,127,200.786
copf_ce,0,128,400.287
copf_ce,0,129,248.274
copf_ce,0,130,398.437
copf_ce,0,131,321.396
copf_ce,0,132,246.784
copf_ce,0,133,375.42
copf_ce,0,134,292.531
copf_ce,0,135,237.269
copf_ce,0,136,402.145
copf_ce,0,137,273.404
copf_ce,0,138,188.228
copf_ce,0,139,387.834
copf_ce,0,140,242.758
copf_ce,0,141,380.158
copf_ce,0,142,309.093
copf_ce,0,143,230.087
copf_ce,0,144,413.655
copf_ce,0,145,344.329
copf_ce,0,146,269.906
copf_ce,0,147,222.083
copf_ce,0,148,242.045
copf_ce,0,149,362.77
pf_ce,1,0,1.0279
pf_ce,1,1,268.743
pf_ce,1,2,143.659
pf_ce,1,3,261.509
pf_ce,1,4,11.4982
pf_ce,1,5,230.044
pf_ce,1,6,28.2953
pf_ce,1,7,208.511
pf_ce,1,8,80.5348
pf_ce,1,9,186.31
pf_ce,1,10,248.003
pf_ce,1,11,114.452
pf_ce,1,12,179.997
pf_ce,1,13,69.6593
pf_ce,1,14,172.973
pf_ce,1,15,124.956
pf_ce,1,16,219.442
pf_ce,1,17,251.999
pf_ce,1,18,237.966
pf_ce,1,19,98.6396
pf_ce,1,20,66.278
pf_ce,1,21,130.377
pf_ce,1,22,8.43763
pf_ce,1,23,77.8865
pf_ce,1,24,29.059
pf_ce,1,25,153.76
pf_ce,1,26,158.666
