t,x,v_exact,v_ce,v_ut
0,0.012,232.894,81.8683,232.894
1,0.0114,235.395,82.6433,235.395
2,0.01083,237.796,83.3871,237.796
3,0.0102885,240.101,84.1005,240.101
4,0.00977407,242.312,84.7843,242.312
5,0.00928537,244.432,85.4396,244.432
6,0.0088211,246.463,86.0673,246.463
7,0.00838005,248.409,86.6683,248.409
8,0.00796105,250.273,87.2434,250.273
9,0.00756299,252.057,87.7937,252.057
10,0.00718484,253.764,88.32,253.764
11,0.0068256,255.396,88.8231,255.396
12,0.00648432,256.957,89.304,256.957
13,0.0061601,258.449,89.7634,258.449
14,0.0058521,259.875,90.2023,259.875
15,0.00555949,261.237,90.6214,261.236
16,0.00528152,262.537,91.0215,262.537
17,0.00501744,263.779,91.4033,263.779
18,0.00476657,264.964,91.7677,264.964
19,0.00452824,266.095,92.1154,266.095
20,0.00430183,267.174,92.447,267.174
21,0.00408674,268.204,92.7632,268.204
22,0.0038824,269.185,93.0647,269.185
23,0.00368828,270.122,93.3521,270.122
24,0.00350387,271.014,93.626,271.014
25,0.00332867,271.864,93.887,271.864
26,0.00316224,272.675,94.1358,272.675
27,0.00300413,273.447,94.3727,273.447
28,0.00285392,274.183,94.5984,274.183
29,0.00271123,274.884,94.8134,274.884
30,0.00257567,275.552,95.0181,275.552
31,0.00244688,276.187,95.213,276.187
32,0.00232454,276.793,95.3986,276.793
33,0.00220831,277.369,95.5752,277.369
34,0.0020979,277.918,95.7434,277.918
35,0.001993,278.44,95.9034,278.44
36,0.00189335,278.937,96.0557,278.937
37,0.00179868,279.41,96.2007,279.41
38,0.00170875,279.86,96.3386,279.86
39,0.00162331,280.289,96.4698,280.289
